MPN_premix_FM,1.7.221.125,MREK,8/1/2024,11:32 AM,,,
S.100 Plate,Source Plate 1,,8.00E-05,MWP 384,Target Plate 1,,Waste Tube
DispenseToWaste=True,DispenseToWasteCycles=3,DispenseToWasteVolume=1e-7,UseDeionisation=True,OptimizationLevel=ReorderAndParallel,WasteErrorHandlingLevel=Ask,SaveLiquids=Ask,
Source Well,Target Well,Volume [uL],Liquid Name,,,,
A1,A1,0.8,str01.a3602,,,,
A1,A2,0.8,str01.a3602,,,,
F1,A3,0.8,str02.a3860,,,,
F1,A4,0.8,str02.a3860,,,,
C2,A5,0.8,str04.a4154,,,,
C2,A6,0.8,str04.a4154,,,,
H2,A7,0.8,str06.a4517,,,,
H2,A8,0.8,str06.a4517,,,,
E3,A9,0.8,str08.a4883,,,,
E3,A10,0.8,str08.a4883,,,,
B4,A11,0.8,str10.a5217,,,,
B4,A12,0.8,str10.a5217,,,,
G4,A13,0.8,str12.a5417,,,,
G4,A14,0.8,str12.a5417,,,,
D5,A15,0.8,str14.a5600,,,,
D5,A16,0.8,str14.a5600,,,,
A6,A17,0.8,str16.a6029,,,,
A6,A18,0.8,str16.a6029,,,,
F6,A19,0.8,str17.a6260,,,,
F6,A20,0.8,str17.a6260,,,,
C7,A21,0.8,str19.a6579,,,,
C7,A22,0.8,str19.a6579,,,,
H7,A23,0.8,str21.a2259,,,,
H7,A24,0.8,str21.a2259,,,,
A1,B1,0.8,str01.a3602,,,,
A1,B2,0.8,str01.a3602,,,,
F1,B3,0.8,str02.a3860,,,,
F1,B4,0.8,str02.a3860,,,,
C2,B5,0.8,str04.a4154,,,,
C2,B6,0.8,str04.a4154,,,,
H2,B7,0.8,str06.a4517,,,,
H2,B8,0.8,str06.a4517,,,,
E3,B9,0.8,str08.a4883,,,,
E3,B10,0.8,str08.a4883,,,,
B4,B11,0.8,str10.a5217,,,,
B4,B12,0.8,str10.a5217,,,,
G4,B13,0.8,str12.a5417,,,,
G4,B14,0.8,str12.a5417,,,,
D5,B15,0.8,str14.a5600,,,,
D5,B16,0.8,str14.a5600,,,,
A6,B17,0.8,str16.a6029,,,,
A6,B18,0.8,str16.a6029,,,,
F6,B19,0.8,str17.a6260,,,,
F6,B20,0.8,str17.a6260,,,,
C7,B21,0.8,str19.a6579,,,,
C7,B22,0.8,str19.a6579,,,,
H7,B23,0.8,str21.a2259,,,,
H7,B24,0.8,str21.a2259,,,,
A1,C1,0.8,str01.a3602,,,,
A1,C2,0.8,str01.a3602,,,,
F1,C3,0.8,str02.a3860,,,,
F1,C4,0.8,str02.a3860,,,,
C2,C5,0.8,str04.a4154,,,,
C2,C6,0.8,str04.a4154,,,,
H2,C7,0.8,str06.a4517,,,,
H2,C8,0.8,str06.a4517,,,,
E3,C9,0.8,str08.a4883,,,,
E3,C10,0.8,str08.a4883,,,,
B4,C11,0.8,str10.a5217,,,,
B4,C12,0.8,str10.a5217,,,,
G4,C13,0.8,str12.a5417,,,,
G4,C14,0.8,str12.a5417,,,,
D5,C15,0.8,str14.a5600,,,,
D5,C16,0.8,str14.a5600,,,,
A6,C17,0.8,str16.a6029,,,,
A6,C18,0.8,str16.a6029,,,,
F6,C19,0.8,str17.a6260,,,,
F6,C20,0.8,str17.a6260,,,,
C7,C21,0.8,str19.a6579,,,,
C7,C22,0.8,str19.a6579,,,,
H7,C23,0.8,str21.a2259,,,,
H7,C24,0.8,str21.a2259,,,,
B1,D1,0.8,str01.a3628,,,,
B1,D2,0.8,str01.a3628,,,,
G1,D3,0.8,str03.a187,,,,
G1,D4,0.8,str03.a187,,,,
D2,D5,0.8,str05.a4279,,,,
D2,D6,0.8,str05.a4279,,,,
A3,D7,0.8,str06.a4541,,,,
A3,D8,0.8,str06.a4541,,,,
F3,D9,0.8,str08.a4977,,,,
F3,D10,0.8,str08.a4977,,,,
C4,D11,0.8,str10.a5297,,,,
C4,D12,0.8,str10.a5297,,,,
H4,D13,0.8,str12.a5430,,,,
H4,D14,0.8,str12.a5430,,,,
E5,D15,0.8,str14.a5632,,,,
E5,D16,0.8,str14.a5632,,,,
B6,D17,0.8,str16.a6159,,,,
B6,D18,0.8,str16.a6159,,,,
G6,D19,0.8,str18.a1476,,,,
G6,D20,0.8,str18.a1476,,,,
D7,D21,0.8,str20.a1673,,,,
D7,D22,0.8,str20.a1673,,,,
A8,D23,0.8,str21.a2357,,,,
A8,D24,0.8,str21.a2357,,,,
B1,E1,0.8,str01.a3628,,,,
B1,E2,0.8,str01.a3628,,,,
G1,E3,0.8,str03.a187,,,,
G1,E4,0.8,str03.a187,,,,
D2,E5,0.8,str05.a4279,,,,
D2,E6,0.8,str05.a4279,,,,
A3,E7,0.8,str06.a4541,,,,
